Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
concentracao de iodo,2,2,2,nhanes_laboratory.pernt_j; nhanes_laboratory.uio_j
contagem de celulas sanguineas,1,2,1,nhanes_laboratory.cbc_j
deficiencia de vitaminas,2,2,2,nhanes_laboratory.vic_j; nhanes_laboratory.vid_j
depressao,1,2,2,nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j
diagnosticos de doencas,2,2,2,nhanes_examination.dxxfem_j; nhanes_questionnaire.rxq_rx_j
ocupacao,2,2,2,nhanes_questionnaire.ocq_j; nhanes_questionnaire.pfq_j
exame dxa,2,2,2,nhanes_examination.dxx_j; nhanes_laboratory.fertin_j
etnia e origem,2,2,1,nhanes_demographics.demo_j
exposicao ao iodo,2,2,2,nhanes_laboratory.uio_j; nhanes_laboratory.uni_j
medicamentos prescritos,2,2,2,nhanes_examination.auxwbr_j; nhanes_questionnaire.rxqasa_j
parametros hematologicos,2,2,2,nhanes_laboratory.cbc_j; nhanes_laboratory.cot_j
idade na entrevista,2,2,2,nhanes_laboratory.ucpreg_j; nhanes_questionnaire.ecq_j
indice de saturacao de transferrina,1,2,2,nhanes_laboratory.fetib_j; nhanes_laboratory.tfr_j
saude cardiovascular,2,2,2,nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j
insulina serica,2,2,2,nhanes_laboratory.ghb_j; nhanes_laboratory.ins_j
pesquisa de arsenio,2,2,2,nhanes_admin.load_catalog; nhanes_laboratory.utas_j
tipo de plano de saude,2,2,1,nhanes_questionnaire.hiq_j
niveis de hemoglobina,1,2,2,nhanes_laboratory.cot_j; nhanes_laboratory.ihgem_j
niveis sericos de hidrocortisona,2,2,2,nhanes_laboratory.ssfr_j; nhanes_laboratory.ssneon_j
nivel de lbdhddsi,2,2,1,nhanes_laboratory.hdl_j
tamanho da familia,2,2,1,nhanes_questionnaire.hoq_j
padroes de respostas em pesquisa,2,2,2,nhanes_questionnaire.dlq_j; nhanes_questionnaire.rhq_j
pesquisa de substancias especificas,2,2,2,nhanes_laboratory.ephpp_j; nhanes_laboratory.sstst_j
proteina c-reativa,2,2,1,nhanes_laboratory.hscrp_j
avaliacao de deficiencia de vitamina c,1,1,1,nhanes_laboratory.vic_j
cobertura de saude,1,1,1,nhanes_questionnaire.hiq_j
coluna vertebral,1,1,1,nhanes_examination.dxxspn_j
condicoes medicas associadas,1,1,1,nhanes_questionnaire.rxq_rx_j
consumo de alimentos,1,1,1,nhanes_questionnaire.dbq_j
dosagem de medicamentos,1,1,1,nhanes_questionnaire.rxqasa_j
estrutura de tabelas de dados,1,1,1,nhanes_admin.load_catalog
exame de coluna,1,1,1,nhanes_examination.dxxspn_j
exposicao a tabaco,1,1,1,nhanes_laboratory.ucot_j
frequencia de valores,1,1,1,nhanes_questionnaire.whq_j
funcionamento fisico,1,1,1,nhanes_questionnaire.pfq_j
gravidez em mulheres,1,1,1,nhanes_laboratory.ucpreg_j
idade de diagnostico,1,1,1,nhanes_questionnaire.mcq_j
marcadores de hepatite,1,1,1,nhanes_laboratory.hepc_j
mercurio total,1,1,1,nhanes_laboratory.pbcd_j
niveis sericos de androstenediona,1,1,1,nhanes_laboratory.ssneon_j
nivel de hscrp,1,1,1,nhanes_laboratory.hscrp_j
peso corporal amostras,1,1,1,nhanes_questionnaire.cbqpfc_j
presenca de dhrplc,1,1,1,nhanes_laboratory.hscrp_j
resultados de exames bioquimicos,1,1,1,nhanes_laboratory.vocwb_j
risco cardiovascular,1,1,1,nhanes_laboratory.hscrp_j
saude ossea,1,1,1,nhanes_examination.dxxfem_j
sintomas respiratorios,1,1,1,nhanes_questionnaire.cdq_j
trabalho noturno,1,1,1,nhanes_questionnaire.ocq_j
triagem gestacional,1,1,1,nhanes_laboratory.ucpreg_j
variabilidade de resultados,1,1,1,nhanes_laboratory.ssfr_j
variaveis bioquimicas,1,1,1,nhanes_laboratory.biopro_j
vitamina e serica,1,1,1,nhanes_laboratory.vid_j
