Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
saude cardiovascular,3,3,3,nhanes_laboratory.trigly_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.rhq_j
fatores de ponderacao amostral,2,2,2,nhanes_laboratory.ins_j; nhanes_laboratory.utas_j
biomonitoramento laboratorial,2,2,2,nhanes_laboratory.pfas_j; nhanes_laboratory.phthte_j
etnia e origem,2,2,2,nhanes_demographics.demo_j; nhanes_questionnaire.smqshs_j
concentracao de metabolitos,2,2,2,nhanes_laboratory.ghb_j; nhanes_laboratory.uphopm_j
tamanho da familia,2,2,1,nhanes_questionnaire.hoq_j
contagem de celulas sanguineas,1,2,1,nhanes_laboratory.cbc_j
depressao,1,2,2,nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j
diabetes,1,2,2,nhanes_laboratory.ghb_j; nhanes_questionnaire.diq_j
marcadores de exposicao ao tabaco,2,2,2,nhanes_laboratory.crco_j; nhanes_laboratory.ucot_j
variaveis bioquimicas,2,2,2,nhanes_laboratory.biopro_j; nhanes_laboratory.vitaec_j
peso corporal amostras,2,2,2,nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.whqmec_j
pesquisa de saude,2,2,2,nhanes_laboratory.uvoc_j; nhanes_questionnaire.diq_j
questionario de saude auditiva,2,2,1,nhanes_questionnaire.auq_j
seguranca alimentar,1,2,2,nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
valores de ureia,2,2,1,nhanes_laboratory.opd_j
analise de folato,1,1,1,nhanes_laboratory.folate_j
analise de variaveis numericas,1,1,1,nhanes_laboratory.ssagp_j
catalogo nhanes,1,1,1,nhanes_admin.load_catalog
coluna vertebral,1,1,1,nhanes_examination.dxxspn_j
diagnosticos de doencas,1,1,1,nhanes_questionnaire.rxq_rx_j
dieta e saude,1,1,1,nhanes_dietary.dr1tot_j
dosagem de medicamentos,1,1,1,nhanes_questionnaire.rxqasa_j
estoque de ferro,1,1,1,nhanes_laboratory.fertin_j
exame de coluna,1,1,1,nhanes_examination.dxxspn_j
fatores de risco,1,1,1,nhanes_examination.auxwbr_j
lateralidade do braco,1,1,1,nhanes_examination.bpxo_j
marcadores bioquimicos,1,1,1,nhanes_laboratory.sstst_j
pesquisa dietetica nhanes,1,1,1,nhanes_dietary.ds1ids_j
prevalencia de hiv,1,1,1,nhanes_laboratory.hiv_j
resultados de exames bioquimicos,1,1,1,nhanes_laboratory.vocwb_j
resultados sorologicos,1,1,1,nhanes_laboratory.hepe_j
