Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
valores laboratoriais,3,8,8,nhanes_admin.load_catalog; nhanes_laboratory.cot_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j; nhanes_laboratory.vic_j
valores de referencia bioquimica,4,8,7,nhanes_laboratory.alb_cr_j; nhanes_laboratory.biopro_j; nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.ghb_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sspfas_j
dados antropometricos,6,7,4,nhanes_examination.bmx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_questionnaire.whq_j
imunoglobulinas igg e igm,7,7,1,nhanes_laboratory.cmv_j
pesos dieteticos,5,7,6,nhanes_admin.load_catalog; nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.ds1tot_j; nhanes_questionnaire.paq_j
hemograma completo,6,7,3,nhanes_laboratory.cbc_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssagp_j
analise de gravidez,6,6,6,nhanes_examination.bpx_j; nhanes_laboratory.fertin_j; nhanes_laboratory.folate_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.vocwb_j
metabolitos urinarios,5,6,5,nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uphopm_j
resultados laboratoriais de transferrina,5,6,4,nhanes_laboratory.biopro_j; nhanes_laboratory.cbc_j; nhanes_laboratory.fertin_j; nhanes_laboratory.tfr_j
pesquisa de dieta alimentar,3,6,5,nhanes_dietary.dr1iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_questionnaire.fsq_j
historico de gravidez,6,6,5,nhanes_examination.lux_j; nhanes_laboratory.fertin_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.rhq_j
exposicao ao iodo,6,6,5,nhanes_examination.lux_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uio_j; nhanes_laboratory.uni_j; nhanes_questionnaire.auq_j
questionario de dieta,6,6,5,nhanes_questionnaire.cbq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
questionario de comportamento alimentar,2,6,4,nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j
limiar auditivo,4,5,4,nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j
historico de saude renal,5,5,3,nhanes_examination.aux_j; nhanes_laboratory.biopro_j; nhanes_questionnaire.kiq_u_j
niveis de glifosato,5,5,4,nhanes_laboratory.ethox_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvoc_j
avaliacao de dificuldade fisica,4,5,4,nhanes_questionnaire.alq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.pfq_j
concentracao de mercurio no sangue,3,5,5,nhanes_laboratory.ephpp_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
catalogo de dados de pesquisa,5,5,5,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.utas_j
consumo de vitaminas e minerais,2,5,5,nhanes_dietary.dr1tot_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j
niveis de folato,5,5,1,nhanes_laboratory.folate_j
teste de hiv,4,5,1,nhanes_laboratory.hiv_j
niveis de colesterol,5,5,3,nhanes_laboratory.hdl_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j
niveis de lipidios,4,5,3,nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.trigly_j
aleitamento materno,3,4,3,nhanes_questionnaire.dbq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
analise de glicemia,3,4,3,nhanes_laboratory.glu_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssglyp_j
analise laboratorial por espectrometria,4,4,4,nhanes_laboratory.pfas_j; nhanes_laboratory.uio_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j
circunferencias corporais,4,4,3,nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j
dificuldades funcionais,4,4,3,nhanes_questionnaire.hoq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.pfq_j
status nutricional de iodo,2,4,4,nhanes_dietary.dr2iff_j; nhanes_dietary.ds1ids_j; nhanes_dietary.dsqids_j; nhanes_laboratory.uio_j
metabolitos de solventes,4,4,3,nhanes_laboratory.uas_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
padroes consumo alimentar,3,4,3,nhanes_dietary.dr1iff_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.inq_j
analise de triglicerideos,3,3,3,nhanes_laboratory.ihgem_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.trigly_j
avaliacao de deficiencia de vitamina c,3,3,2,nhanes_laboratory.pbcd_j; nhanes_laboratory.vic_j
marcadores de exposicao ao tabaco,3,3,3,nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_questionnaire.smq_j
biomonitoramento de metabolitos urinarios,3,3,2,nhanes_laboratory.pah_j; nhanes_laboratory.phthte_j
concentracao de iodo urinario,3,3,3,nhanes_laboratory.pernt_j; nhanes_laboratory.uio_j; nhanes_laboratory.uni_j
exposicao a tabaco,3,3,2,nhanes_laboratory.ucot_j; nhanes_questionnaire.smqshs_j
frequencia cardiaca,2,3,2,nhanes_examination.bpx_j; nhanes_questionnaire.paqy_j
prevalencia de anticorpos hav,3,3,3,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_questionnaire.imq_j
analise da funcao hepatica,2,2,2,nhanes_laboratory.biopro_j; nhanes_laboratory.sstst_j
analise de marcadores laboratoriais,2,2,2,nhanes_laboratory.pbcd_j; nhanes_laboratory.ssuvcm_j
avaliacao indicadores nutricionais,2,2,2,nhanes_dietary.dr1iff_j; nhanes_questionnaire.inq_j
variaveis bioquimicas,2,2,2,nhanes_laboratory.biopro_j; nhanes_laboratory.hscrp_j
dados laboratoriais nutricionais,2,2,2,nhanes_laboratory.folate_j; nhanes_laboratory.vid_j
biomarcadores de exposicao quimica,2,2,2,nhanes_laboratory.ephpp_j; nhanes_laboratory.ssuvoc_j
carotenoides sericos,2,2,2,nhanes_laboratory.cot_j; nhanes_laboratory.vitaec_j
resultados sorologicos,2,2,2,nhanes_laboratory.cmv_j; nhanes_laboratory.hepe_j
comportamento social,2,2,2,nhanes_questionnaire.ocq_j; nhanes_questionnaire.osq_j
concentracao de colesterol,2,2,2,nhanes_laboratory.vitaec_j; nhanes_questionnaire.bpq_j
niveis de vitamina b9,2,2,2,nhanes_laboratory.folate_j; nhanes_laboratory.pernt_j
peso corporal amostras,2,2,2,nhanes_examination.auxwbr_j; nhanes_questionnaire.cbqpfc_j
testes laboratoriais de cmv,2,2,2,nhanes_laboratory.cmv_j; nhanes_laboratory.hiv_j
dosagem de medicamentos,1,2,1,nhanes_questionnaire.rxqasa_j
limite de deteccao de mercurio,2,2,2,nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j
frequencia de suplementacao,2,2,2,nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j
ingestao de alimentos por linha,2,2,2,nhanes_dietary.dr1iff_j; nhanes_dietary.dr2tot_j
mercurio total,2,2,2,nhanes_laboratory.pbcd_j; nhanes_laboratory.sspfas_j
metabolitos de cisteina,2,2,2,nhanes_laboratory.ssuvoc_j; nhanes_laboratory.utas_j
nivel de hscrp,2,2,2,nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j
nivel de lbdhddsi,2,2,1,nhanes_laboratory.hdl_j
respostas de pesquisa nhanes,2,2,2,nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.vtq_j
avaliacao de tabagismo,1,1,1,nhanes_questionnaire.smqrtu_j
compostos nitrogenados,1,1,1,nhanes_laboratory.pernt_j
concentracao de metabolitos,1,1,1,nhanes_laboratory.uphopm_j
consumo de suplementos vitaminicos,1,1,1,nhanes_dietary.dsqtot_j
deficiencia de vitaminas,1,1,1,nhanes_laboratory.vid_j
exames laboratoriais de metais,1,1,1,nhanes_laboratory.pbcd_j
exposicao a fumaca,1,1,1,nhanes_questionnaire.smqfam_j
frequencia de uso de substancias,1,1,1,nhanes_questionnaire.duq_j
frequencia de valores,1,1,1,nhanes_questionnaire.whq_j
genero,1,1,1,nhanes_demographics.demo_j
imunoglobulina a,1,1,1,nhanes_laboratory.cmv_j
medicao de parabenos na urina,1,1,1,nhanes_laboratory.ephpp_j
medicao de ucm na urina,1,1,1,nhanes_laboratory.ucm_j
niveis de carotenoides,1,1,1,nhanes_laboratory.vitaec_j
niveis sericos de peptideo c,1,1,1,nhanes_laboratory.ssfr_j
questionario de alimentacao,1,1,1,nhanes_questionnaire.fsq_j
questionario de depressao,1,1,1,nhanes_questionnaire.dpq_j
questionario de seguranca alimentar,1,1,1,nhanes_questionnaire.fsq_j
respostas de questionario de dieta,1,1,1,nhanes_questionnaire.diq_j
resultados de laboratorio nhanes,1,1,1,nhanes_laboratory.cmv_j
risco cardiovascular,1,1,1,nhanes_laboratory.hscrp_j
sintomas respiratorios,1,1,1,nhanes_questionnaire.cdq_j
tecnicas cirurgicas,1,1,1,nhanes_examination.lux_j
valores de ureia,1,1,1,nhanes_laboratory.opd_j
variabilidade de resultados,1,1,1,nhanes_laboratory.ssfr_j
